rs_section,usc_title,usc_section,status
"1008, 1009",,,Rep.
1010–1012,28,878–880,Rev. T.
1013,28,864,Rev. T.
1014,18,591,Rev. T.
1015–1020,18,596–601,Rev. T.
"1021, 1022",18,"554, 555",Rev. T.
1023,18,560,Rev. T.
1024,18,557,Rev. T.
"1025, 1026",18,"556, 561",Rev. T.
1027–1030,18,602–605,Rev. T.
1031,28,425,Rev. T.
1032,18,564,Rev. T.
"1033, 1034",18,"562, 563",Rev. T.
"1035, 1036",18,"565, 566",Rev. T.
1037–1040,,,Rep.
"1041, 1042",18,"569, 641",Rev. T.
1043–1046,18,581–584,Rev. T.
1047,28,791,Rev. T.
1048–1074,,,Rep.
1075,28,268a,Rev. T.
1076–1084,,,Rep.
1085,28,278a,Rev. T.
1086–1088,,,Rep.
1089,31,225,Rev. T.
1090–1095,,,Rep.
1096–1098,10,498,Rev. T.
1099–1103,,,Rep.
"1104, 1105",10,"252, 253",Rev. T.
"1106, 1107",,,Rep.
1108,10,282,Rev. T.
"1109, 1110",,,Rep.
1111,10,"1140, 1161",Rev. T.
1112,10,611,Rev. T.
1113–1115,,,Rep.
1116,10,621,Rev. T.
1117,,,Rep.
1118,10,622,Rev. T.
1119–1121,,,Rep.
1122,10,523,Rev. T.
"1123, 1124",,,Rep.
1125,10,238,Rev. T.
1126,,,Rep.
1127,10,239,Rev. T.
1128–1131,,,Rep.
1132,10,7,Rev. T.
"1133, 1134",,,Rep.
1135,10,1259e,Rev. T.
,34,541,Rev. T.
1136,10,1339,Rev. T.
1137,,,Rep.
1138,10,1315,Rev. T.
"1139, 1140",,,Rep.
1141,10,1195a,Rev. T.
1142,,,Rep.
1143,10,1259d,Rev. T.
,34,541,Rev. T.
1144,10,"875c, 1237, 1315",Rev. T.
1145,10,1232,Rev. T.
1146–1148,,,Rep.
"1149, 1150",10,"1239, 1315",Rev. T.
"1151, 1152",,,Rep.
1153,10,185,Rev. T.
"1154, 1155",,,Rep.
"1156, 1157",10,"182, 184",Rev. T.
1158,10,183,Rev. T.
1159–1163,,,Rep.
1164–1167,10,192–196,Rev. T.
1168,,,Rep.
1169,10,82,Rev. T.
1170–1173,,,Rep.
"1174, 1175",10,"104, 726",Rev. T.
1176–1178,38,247–249,Rev. T.
1179–1182,,,Rep.
1183,10,176,Rev. T.
1184–1188,,,Rep.
1189,37,310b,Rev. T.
1190,,,Rep.
"1191, 1192",10,"1312, 1314",Rev. T.
1193–1198,,,Rep.
1199,10,62,Rev. T.
1200,,,Rep.
1201,10,63,Rev. T.
1202–1208,,,Rep.
"1209, 1210",10,"521, 522",Rev. T.
"1211, 1212",10,"524, 528",Rev. T.
1213–1221,,,Rep.
"1222, 1223",10,"576, 577",Rev. T.
"1224, 1225",10,"495, 1182a",Rev. T.
,34,1229,Rev. T.
1226,10,"516, 1392",Rev. T.
1227,10,1426,Rev. T.
1228,10,579,Rev. T.
1229,10,"572, 575",Rev. T.
"1230, 1231",10,"573, 1172",Rev. T.
1232,10,608,Rev. T.
1233,,,Rep.
1234,10,497,Rev. T.
"1235, 1236",,,Rep.
1237,10,610,Rev. T.
1238–1240,,,Rep.
"1241, 1242",10,"1261, 1317",Rev. T.
1243,10,"941, 943",Rev. T.
1244,10,944,Rev. T.
1245,10,931,Rev. T.
1246–1250,10,961–965,Rev. T.
"1251, 1252",10,"933, 934",Rev. T.
"1253, 1254",10,"966, 1025",Rev. T.
1255,10,1024,Rev. T.
1256,10,1023,Rev. T.
"1257, 1258",10,"557, 1021",Rev. T.
1259,10,"990, 996",Rev. T.
1260,10,1178,Rev. T.
1261,10,"671a, 692",Rev. T.
"1262, 1263",,,Rep.
1264,10,691,Rev. T.
"1265, 1266",10,"841, 849",Rev. T.
1267,,,Rep.
1268,10,861,Rev. T.
1269,,,Rep.
1270,10,806,Rev. T.
1271–1273,,,Rep.
"1274, 1275",10,"971, 984",Rev. T.
1276,10,786,Rev. T.
1277–1284,,,Rep.
1285,10,695,Rev. T.
"1286, 1287",,,Rep.
1288,37,242,Rev. T.
"1289, 1290",,,Rep.
1291,10,893,Rev. T.
1292,,,Rep.
"1293, 1294",10,"716b, 729",Rev. T.
1295,,,Rep.
1296,10,"831, 1391",Rev. T.
1297,,,Rep.
"1298, 1299",10,"834, 875c",Rev. T.
"1300, 1301",10,"875, 875b",Rev. T.
1302,10,874,Rev. T.
"1303, 1304",10,"871, 872",Rev. T.
1305–1307,10,906–908,Rev. T.
1308,10,835,Rev. T.
"1309, 1310",10,"1061, 1066",Rev. T.
"1311, 1312",10,"1042, 1065",Rev. T.
1313,10,1063,Rev. T.
1314,10,"1062, 1081",Rev. T.
"1315, 1316",,,Rep.
1317,10,1098,Rev. T.
1318,10,"1094, 1100",Rev. T.
"1319, 1320",10,"1096, 1099",Rev. T.
"1321, 1322",10,"1101, 1105",Rev. T.
1323,10,1102,Rev. T.
"1324, 1325",10,"1044, 1104",Rev. T.
"1326, 1327",,,Rep.
"1327, 1328",10,"1051, 1053",Rev. T.
1329,,,Rep.
1330,10,1144,Rev. T.
1331,10,1041,Rev. T.
1332,,,Rep.
1333,10,1080,Rev. T.
1334–1336,10,1131–1133,Rev. T.
1337,10,1135,Rev. T.
1338,10,1085,Rev. T.
"1339, 1340",,,Rep.
1341,10,1142,Rev. T.
"1342, 1343",,,Rep.
1344–1361,10,1451–1458,Rev. T.
1362,34,1,Rev. T.
1363–1366,,,Rep.
1367,34,111,Rev. T.
1368,,,Rep.
1369,34,"11, 21",Rev. T.
1370,34,23,Rev. T.
"1371, 1372",,,Rep.
"1373, 1374",34,"24, 25",Rev. T.
1375,5,451,Rev. T.
"1376, 1377",,,Rep.
"1378, 1379",34,"11, 61",Rev. T.
1380,34,323,Rev. T.
1381–1385,34,62–66,Rev. T.
1386–1388,,,Rep.
1389,34,67,Rev. T.
1390–1392,,,Rep.
1393,34,76,Rev. T.
1394,,,Rep.
"1395, 1396",34,"11, 91",Rev. T.
"1397, 1398",34,"95, 96",Rev. T.
"1399, 1400",,,Rep.
1401,34,102,Rev. T.
"1402, 1403",34,"11, 81",Rev. T.
1404,34,223,Rev. T.
1405,34,122,Rev. T.
1406,34,121,Rev. T.
1407,34,"134, 351",Rev. T.
"1408, 1409",34,"174, 198",Rev. T.
1410,34,146,Rev. T.
1411,34,21,Rev. T.
1412,,,Rep.
1413,34,"11, 79, 141",Rev. T.
"1414, 1415",34,"142, 143",Rev. T.
1416,,,Rep.
"1417, 1418",34,"133, 182",Rev. T.
1419,34,161,Rev. T.
1420,34,"161, 163",Rev. T.
"1421, 1422",34,"177, 201",Rev. T.
1423–1425,,,Rep.
"1426, 1427",34,"192, 193",Rev. T.
1428,34,211,Rev. T.
1429,34,194,Rev. T.
"1430, 1431",34,"219, 220",Rev. T.
1432,34,218,Rev. T.
1433,34,217,Rev. T.
1434,34,216,Rev. T.
"1435, 1436",34,"221, 225",Rev. T.
1437,10,1366,Rev. T.
,34,447,Rev. T.
"1438, 1439",34,"144, 145",Rev. T.
1440–1442,34,226–228,Rev. T.
"1443, 1444",34,"381, 384",Rev. T.
1445,34,382,Rev. T.
"1446, 1447",,,Rep.
1448,34,411,Rev. T.
1449–1454,34,413–418,Rev. T.
1455,34,412,Rev. T.
"1456, 1457",34,"385, 389",Rev. T.
"1458, 1459",34,"400, 401",Rev. T.
"1460, 1461",,,Rep.
1462,34,421,Rev. T.
1463–1465,34,424–426,Rev. T.
"1466, 1467",34,"241, 242",Rev. T.
1468–1470,34,246–248,Rev. T.
1471,5,440,Rev. T.
1472,,,Rep.
1473,5,442,Rev. T.
"1474, 1475",34,251,Rev. T.
1476,,,Rep.
1477,34,251,Rev. T.
"1478, 1479",,,Rep.
1480,34,395,Rev. T.
"1481, 1482",34,"252, 397",Rev. T.
1483,34,258,Rev. T.
1484,,,Rep.
"1485, 1486",34,"244, 245",Rev. T.
1487,34,913,Rev. T.
1488,34,253,Rev. T.
"1489, 1490",34,"249, 250",Rev. T.
"1491, 1492",,,Rep.
1493,34,271,Rev. T.
1494,34,"272, 666",Rev. T.
"1495, 1496",34,"273, 274",Rev. T.
1497,,,Rep.
1498–1502,34,275–279,Rev. T.
1503–1505,34,281–283,Rev. T.
"1506, 1507",34,"341, 342",Rev. T.
1508–1510,34,345–347,Rev. T.
"1511, 1512",34,"1021, 1031",Rev. T.
"1513, 1514",,,Rep.
1515–1518,34,1043–1046,Rev. T.
"1519, 1520",34,"1053, 1054",Rev. T.
1521,34,1057,Rev. T.
1522–1525,,,Rep.
"1526, 1527",34,"1056, 1101",Rev. T.
1528,34,1072,Rev. T.
1529–1531,,,Rep.
"1532, 1533",34,"462, 463",Rev. T.
"1534, 1535",34,"452, 453",Rev. T.
1536,14,53,Rev. T.
,34,471,Rev. T.
1537–1539,34,483–485,Rev. T.
"1540, 1541",,,Rep.
"1542, 1543",34,"501, 502",Rev. T.
1544,34,507,Rev. T.
1545,,,Rep.
1546,34,510,Rev. T.
"1547, 1548",34,"591, 592",Rev. T.
1549,34,529,Rev. T.
"1550, 1551",34,"594, 595",Rev. T.
"1552, 1553",,,Rep.
"1554, 1555",5,418,Rev. T.
1556,,,Rep.
1557,34,881,Rev. T.
"1558, 1559",,,Rep.
1560,34,862,Rev. T.
"1561, 1562",,,Rep.
"1563, 1564",34,"875, 876",Rev. T.
1565–1570,,,Rep.
1571,34,224,Rev. T.
"1572, 1573",,,Rep.
"1574, 1575",37,"243, 244",Rev. T.
1576,34,932,Rev. T.
1577–1579,,,Rep.
1580–1583,34,902–905,Rev. T.
1584,,,Rep.
1585,34,907,Rev. T.
"1586, 1587",34,"921, 922",Rev. T.
1588,34,991,Rev. T.
"1589, 1590",,,Rep.
"1591, 1592",34,"993, 994",Rev. T.
1593,34,998,Rev. T.
1594–1599,,,Rep.
1600,34,653,Rev. T.
"1601, 1602",,,Rep.
"1603, 1604",34,"651, 652",Rev. T.
1605–1607,34,670–672,Rev. T.
1608,,,Rep.
"1609, 1610",34,"694, 695",Rev. T.
1611,34,717,Rev. T.
"1612, 1613",34,"971, 972",Rev. T.
1614,24,3,Rep.
1615,,,Rep.
"1616, 1617",34,"711, 713",Rev. T.
1618,,,Rep.
1619,34,712,Rev. T.
"1620, 1621",34,"714, 715",Rev. T.
"1622, 1623",34,681,Rev. T.
1624,34,1200,Rev. T.
1625–1663,,,Rep.
1664,10,1312,Rev. T.
1665,50,53,Rep.
1666,50,55,Rep. See T. 10 § 4532(b).
"1667, 1668",,,Rep.
1669,50,56,Rep.
1670,,,Rep.
1671,50,57,Rep.
"1672, 1673",,,Rep.
1674,22,"40, 51",Rep.
1675,22,32,Rep.
1676–1684,,,Rep.
"1685, 1686",22,"20, 36",Rep.
