rs_section,usc_title,usc_section,status
4866–4868,24,245–247,Elim.
4869,24,249,Elim.
4870–4875,24,271–276,Rep.
4876,,,Rep.
"4877, 4878",24,"279, 281",Rep.
"4879, 4880",24,"283, 284",Elim.
"4881, 4882",24,"286, 287",Rep.
4883–4885,35,39–41,Rev. T.
4886–4888,35,31–33,Rev. T.
4889–4891,35,34,Rev. T.
4892–4894,35,35–37,Rev. T.
"4895, 4896",35,"44, 46",Rev. T.
4897–4901,35,"38, 47–50",Rev. T.
4902,,,Rep.
4903–4911,35,"51–58, 59a",Rev. T.
4912–4919,35,60–67,Rev. T.
4920–4923,35,69–72,Rev. T.
4924–4928,,,Rep.
4929–4931,35,"73, 76, 77",Rev. T.
4932,,,Rep.
"4933, 4934",35,"73, 78",Rev. T.
"4935, 4936",35,79,Rev. T.
4937–4952,,,Rep.
4953,17,24,Rev. T.
4954–5132,,,Rep.
5133,12,21,
5134,12,22,
5135,12,23,
5136,12,24,
5136A,12,24a,
5136B,12,25a,
5136C,12,25b,
5137,12,29,
5138,12,51,Rep.
5139,12,52,
5140,12,53,
5141,12,54,Rep.
5142,12,57,
5143,12,59,
5144,12,61,
5145,12,71,
5146,12,72,
5147,12,73,
5148,12,74,
5149,12,75,
5150,12,76,
5151,12,63,Rep.
5152,12,66,
5153,12,90,
5154,12,35,
5155,12,36,
5156,12,39,
5156A,12,215c,
5157,12,37,
5158,12,102,Rep.
5159,12,101a,Rep.
5160–5167,12,168–175,Rep.
5168,12,26,
5169,12,27,
5170,12,28,Rep.
5171,,,Rep.
5172–5174,12,"104, 107, 108",Rep.
5175–5181,,,Rep.
5182–5187,12,"109, 110, 124, 151, 152, 581",Rep.
"5188, 5189",,,Rep.
5190,12,81,
5191,12,141–143,
5192,12,144,
"5193, 5194",,,Rep.
5195,12,123,Rep.
5196,12,89,Rep.
5197,12,85,
5198,12,"86, 94",
5199,12,60,
5200,12,84,
5201,12,83,
"5202, 5203",12,"82, 87",Rep.
5204,12,56,
5205,12,55,
5206,12,88,Rep.
5207,12,582,
5208,12,501,
"5208, 5209",12,"591, 592",Rep.
5210,12,62,
5211,12,161,
5212,12,163,Rep.
5213,12,164,
5214,12,541,
5215–5218,12,544–547,Elim.
5219,12,548,
5220,12,181,
5221,12,182,
5222–5225,12,183–186,Rep.
5226–5231,12,"131–134, 137, 138",Rep.
"5232, 5233",12,"135, 136",Rep.
5234,12,192,
5235,12,193,
5236,12,194,
5237,12,195,Rep.
5238,12,196,
5239,12,93,
5239A,12,93a,
5240,12,481–485,
5240A,12,16,
5241,12,165,Elim.
5242,12,91,
5243,12,583,Rep.
5244,12,43,
5244,33,8,
5245,,,Rep.
5246,33,9,
5247,33,6,
5248,33,31,
5249,,,Rep.
5250,33,501,Elim.
5251,33,10,
5252,33,4,
5253,33,543,
5254,33,420,
5255,,,Rep.
5256–5262,45,"81, 82, 84–88",Rep.
5263–5265,47,"1, 2, 6",Rep.
5266–5269,47,"3–5, 8",Rep.
5270,18,"651, 652",Rev. T.
5271,18,655,Rev. T.
"5272, 5273",18,"653, 654",Rev. T.
5274–5279,18,658–663,Rev. T.
5280–5293,,,Rep.
5294,46,7,Rev. T.
5295,18,644,Rev. T.
5296,18,641,Rev. T.
5297–5300,50,201–204,Rep. See T. 10 §§ 331–334.
5301,50,205,
5302,50,206,
5303,50,207,
5304,50,208,
5305,50,209,Rep.
5306,50,210,
5307,50,211,
5308,50,212,
5309,50,213,
5310,50,214,Rep. See T. 10 § 7651.
5311,50,215,
5312,50,216,
5313,50,217,
5314,50,218,Rep.
5315,50,219,
5316,50,220,
5317,50,221,
5318,19,540,
,50,222,Elim.
5319,50,223,
5320,50,224,
5321,50,225,
5322,50,226,
5323–5395,,,Rep.
"5396, 5397",18,"558, 559",Rev. T.
5398–5484,,,Rep.
5485,38,112,Rev. T.
,43,843,Rep.
5486,38,127,Rev. T.
5487–5516,,,Rep.
5517,42,1990,
5518–5535,,,Rep.
5536,18,701,Rev. T.
5537–5542,18,691–695,Rev. T.
5543,18,713,Rev. T.
5544,18,"712, 712a, 713",Rev. T.
5545,18,703,Rev. T.
5546,18,696–698,Rev. T.
5547,18,699,Rev. T.
5548–5550,18,705–707,Rev. T.
5551–5567,,,"Rep. See T. 46, §§ 1351–1354."
"5568, 5569",,,Rep.
5570,48,1411,
5571,48,1412,
5572,48,1413,
5573,48,1414,
5574,48,1415,
5575,48,1416,
5576,48,1417,
5577,48,1418,
5578,48,1419,
5579,20,41,
5580,20,42,
5581,20,43,
5582,20,44,
5583,20,46,
5584,20,48,
5585,20,45,
5586,20,50,
5587,20,51,
5588,20,52,
5589,20,53,
5590,20,54,
5591,20,55,
5592,20,56,
5593,20,57,
5594,20,67,
"5595, 5596",,,
"5597, 5598",,,Rep.
5599,1,29a,Rev. T.
"5600, 5601",,,
